t,px,py,pz,vx,vy,vz,ax,ay,az,yaw
70.80000000000001,24.801309059851583,-11.354925834776347,-10,1.1890850528196775,1.0263906845997604,0,nan,nan,nan,0
70.9,24.91967797985479,-11.251666044456883,-10,1.1782717128637157,1.038786248916275,0,nan,nan,nan,0
71.0,25.036959095382876,-11.14717238216091,-10,1.167329162136525,1.0510678986145365,0,nan,nan,nan,0
71.1,25.15313954523991,-11.041456306796018,-10,1.156258600612102,1.063234286873257,0,nan,nan,nan,0
71.2,25.26820658893033,-10.934529411321174,-10,1.145061242302271,1.0752840795108611,0,nan,nan,nan,0
71.30000000000001,25.3821476080561,-10.826403421475431,-10,1.1337383151235538,1.0872159551317966,0,nan,nan,nan,0
71.4,25.494950107700486,-10.717090194492046,-10,1.122291060762514,1.099028605271442,0,nan,nan,nan,0
71.5,25.60660171779821,-10.606601717798215,-10,1.1107207345395917,1.110720734539591,0,nan,nan,nan,0
71.6,25.71709019449205,-10.49495010770048,-10,1.0990286052714413,1.1222910607625143,0,nan,nan,nan,0
71.7,25.826403421475433,-10.3821476080561,-10,1.0872159551317961,1.1337383151235543,0,nan,nan,nan,0
71.80000000000001,25.93452941132117,-10.268206588930335,-10,1.0752840795108616,1.1450612423022701,0,nan,nan,nan,0
71.9,26.04145630679602,-10.153139545239902,-10,1.0632342868732563,1.1562586006121025,0,nan,nan,nan,0
72.0,26.147172382160914,-10.036959095382873,-10,1.0510678986145363,1.1673291621365254,0,nan,nan,nan,0
72.1,26.251666044456886,-9.919677979854784,-10,1.0387862489162745,1.178271712863716,0,nan,nan,nan,0
72.2,26.354925834776342,-9.801309059851585,-10,1.0263906845997606,1.1890850528196768,0,nan,nan,nan,0
72.30000000000001,26.45694042951964,-9.68186531585925,-10,1.013882564978308,1.1997679961998264,0,nan,nan,nan,0
72.4,26.55769864163684,-9.561359846230344,-10,1.0012632617081894,1.2103193714990341,0,nan,nan,nan,0
72.5,26.65718942185456,-9.439805865747568,-10,0.9885341586382131,1.2207380216400978,0,nan,nan,nan,0
72.6,26.755401859887602,-9.317216704174648,-10,0.9756966516579726,1.2310228041006226,0,nan,nan,nan,0
72.7,26.852325185635355,-9.193605804794647,-10,0.962752148544778,1.2411725910383105,0,nan,nan,nan,0
72.80000000000001,26.947948770362945,-9.068986722935621,-10,0.949702068809264,1.2511862694146478,0,nan,nan,nan,0
72.9,27.042262127866714,-8.943373124484243,-10,0.9365478435397364,1.2610627411169553,0,nan,nan,nan,0
73.0,27.13525491562421,-8.8167787843871,-10,0.9232909152452287,1.2708009230788149,0,nan,nan,nan,0
73.1,27.226916935928315,-8.689217585140183,-10,0.9099327376973214,1.2803997473988338,0,nan,nan,nan,0
73.2,27.317238137005553,-8.560703515266484,-10,0.8964747757707168,1.289858161457756,0,nan,nan,nan,0
73.30000000000001,27.40620861411843,-8.431250667781955,-10,0.8829185052825942,1.2991751280338955,0,nan,nan,nan,0
73.4,27.4938186106515,-8.300873238650151,-10,0.869265412830781,1.3083496254168727,0,nan,nan,nan,0
73.5,27.580058519181353,-8.169585525225417,-10,0.8555169956307227,1.3173806475196612,0,nan,nan,nan,0
73.6,27.66491888253023,-8.037401924684945,-10,0.8416747613512895,1.3262672039889207,0,nan,nan,nan,0
73.7,27.74839039480296,-7.904336932450155,-10,0.8277402279494629,1.335008320313589,0,nan,nan,nan,0
73.80000000000001,27.8304639024076,-7.770405140596955,-10,0.8137149235038585,1.343603037931758,0,nan,nan,nan,0
73.9,27.911130405059154,-7.635621236255568,-10,0.7996003860471569,1.3520504143357885,0,nan,nan,nan,0
74.0,27.99038105676658,-7.499999999999995,-10,0.7853981633974477,1.3603495231756635,0,nan,nan,nan,0
74.1,28.06820716680284,-7.363556304227116,-10,0.7711098129884905,1.3684994543605762,0,nan,nan,nan,0
74.2,28.144600200657955,-7.22630511152573,-10,0.7567369016989202,1.3764993141587316,0,nan,nan,nan,0
74.30000000000001,28.219551780974882,-7.088261473035808,-10,0.7422810056804287,1.384348225295352,0,nan,nan,nan,0
74.4,28.293053688468227,-6.94944052679792,-10,0.7277437101849176,1.3920453270488826,0,nan,nan,nan,0
74.5,28.365097862825515,-6.809857496093205,-10,0.7131266093906599,1.3995897753453763,0,nan,nan,nan,0
74.6,28.435676403591188,-6.6695276877739245,-10,0.6984313062274761,1.4069807428510601,0,nan,nan,nan,0
74.7,28.504781571032904,-6.5284664905849095,-10,0.6836594122009564,1.4142174190630599,0,nan,nan,nan,0
74.80000000000001,28.572405786990295,-6.3866893734760835,-10,0.6688125472157488,1.4212990103982768,0,nan,nan,nan,0
74.9,28.638541635706027,-6.2442118839060194,-10,0.6538923393979078,1.4282247402804191,0,nan,nan,nan,0
75.0,28.703181864639014,-6.101049646137002,-10,0.6389004249163538,1.4349938492251606,0,nan,nan,nan,0
75.1,28.76631938525972,-5.957218359521705,-10,0.6238384478034542,1.441605594923423,0,nan,nan,nan,0
75.2,28.827947273827505,-5.812733796781549,-10,0.608708059774734,1.4480592523227833,0,nan,nan,nan,0
75.30000000000001,28.888058772149925,-5.667611802276996,-10,0.5935109200477406,1.454354113706983,0,nan,nan,nan,0
75.4,28.946647288323774,-5.521868290270168,-10,0.5782486951601064,1.4604894887735325,0,nan,nan,nan,0
75.5,29.003706397458025,-5.375519243179512,-10,0.5629230587867773,1.466464704709417,0,nan,nan,nan,0
75.6,29.05922984237837,-5.2285807098272326,-10,0.5475356915564846,1.472279106264876,0,nan,nan,nan,0
75.7,29.113211534313383,-5.081068803679371,-10,0.5320882808674463,1.4779320558252553,0,nan,nan,nan,0
75.80000000000001,29.165645553562214,-4.932999701078746,-10,0.5165825207023211,1.4834229334809323,0,nan,nan,nan,0
75.9,29.216526150143785,-4.784389639471043,-10,0.501020111442445,1.4887511370952968,0,nan,nan,nan,0
76.0,29.265847744427305,-4.635254915624214,-10,0.485402759681367,1.4939160823707778,0,nan,nan,nan,0
76.1,29.31360492774415,-4.4856118838413,-10,0.46973217803769673,1.498917202912923,0,nan,nan,nan,0
76.2,29.359792462981012,-4.335476954167071,-10,0.454010084967304,1.5037539502925072,0,nan,nan,nan,0
76.30000000000001,29.404405285154148,-4.184866590588432,-10,0.4382382045748661,1.5084257941056753,0,nan,nan,nan,0
76.4,29.447438501964875,-4.033797309228976,-10,0.42241826642480085,1.512932222032106,0,nan,nan,nan,0
